Boston,14460,03/01/09,55,Moderate,PM2.5,25-025-0043,13
Boston,14460,04/01/09,42,Good,NO2,25-025-0040,16
Boston,14460,05/01/09,56,Moderate,PM2.5,25-025-0042,13
Boston,14460,06/01/09,53,Moderate,PM2.5,25-025-0042,10
Boston,14460,07/01/09,41,Good,PM2.5,25-025-0042,15
Boston,14460,08/01/09,42,Good,PM2.5,25-025-0043,13
Boston,14460,09/01/09,34,Good,Ozone,25-009-2006,13
Boston,14460,10/01/09,47,Good,PM2.5,25-025-0027,16
Boston,14460,01/01/08,70,Moderate,PM2.5,25-025-0042,15
Boston,14460,02/01/08,74,Moderate,SO2,33-015-0014,12
Boston,14460,03/01/08,100,Moderate,SO2,33-015-0014,13
Boston,14460,04/01/08,67,Moderate,PM2.5,25-025-0042,16
Boston,14460,05/01/08,77,Moderate,PM2.5,25-025-0042,12
Boston,14460,06/01/08,84,Moderate,PM2.5,25-025-0042,12
Boston,14460,07/01/08,104,Unhealthy for Sensitive Groups,PM2.5,25-025-0042,15
Boston,14460,08/01/08,85,Moderate,PM2.5,25-025-0042,12
Boston,14460,09/01/08,54,Moderate,PM2.5,25-025-0042,12
Boston,14460,10/01/08,57,Moderate,PM2.5,25-025-0042,16
Boston,14460,01/01/07,43,Good,PM2.5,25-025-0043,12
Boston,14460,02/01/07,59,Moderate,SO2,33-015-0014,12
Boston,14460,03/01/07,36,Good,PM2.5,25-025-0027,13
Boston,14460,04/01/07,57,Moderate,PM2.5,25-025-0043,11
Boston,14460,05/01/07,55,Moderate,PM2.5,25-025-0043,11
Boston,14460,06/01/07,43,Good,PM2.5,25-025-0043,14
Boston,14460,07/01/07,34,Good,NO2,25-025-0042,12
Boston,14460,08/01/07,43,Good,NO2,25-025-0042,12
Boston,14460,09/01/07,125,Unhealthy for Sensitive Groups,PM2.5,25-025-0042,14
Boston,14460,10/01/07,38,Good,NO2,25-025-0002,12
